pais,price
Switzerland,97.0
England,51.63636363636363
Hungary,50.81967213114754
France,41.57794888963285
Germany,40.592233009708735
Italy,39.739835514884746
US,36.34488875748392
Australia,35.786701208981
Canada,35.575471698113205
Israel,31.508064516129032
Austria,30.846774193548388
Lebanon,30.4
Spain,27.875925377554044
Uruguay,26.737704918032787
Mexico,26.677419354838708
New Zealand,26.662905500705218
Turkey,25.767441860465116
Portugal,25.64736012608353
Croatia,25.0
Serbia,25.0
South Africa,24.293478260869566
Slovenia,24.0
Czech Republic,23.666666666666668
Argentina,23.604663487016428
Brazil,23.185185185185187
Luxembourg,23.0
Greece,21.84518828451883
Morocco,21.09090909090909
Chile,21.021543985637344
Peru,20.5
Georgia,18.27027027027027
Moldova,17.9
Cyprus,16.0
Slovakia,16.0
Macedonia,15.833333333333334
Bulgaria,14.014705882352942
Armenia,14.0
Romania,13.73134328358209
India,13.5
Bosnia and Herzegovina,13.0
Ukraine,9.2
